in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,End_tutorial.keys,End_tutorial.rt,Tutorial_loop.thisRepN,Tutorial_loop.thisTrialN,Tutorial_loop.thisN,Tutorial_loop.thisIndex,Tutorial_loop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,69.0197,space,7.4682,space,2.6572,space,3.8779,space,2.4897,space,4.0212,left,1.1228,right,1.637,r,10.9185,space,4.0186,0.0,0.0,0.0,0.0,1.0,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,space,4.534,0.025,left,1.7901,a,5.3828,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n04405907_9/img_ydp_103_r_2012__vray_vray_004_2009_gray.jpg,n03928116_10,n04405907_9,flexible,0.723838,n04405907_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n04405907_9/img_ydp_103_r_2012__vray_vray_004_2009-3_gray.png,foreground,same as foreground,n03928116_10,n04405907_9,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,foreground,left,Experiments/experiment_25/1000.jpg,Experiments/experiment_25/1001.jpg,Experiments/experiment_25/1002.jpg,Experiments/experiment_25/1003.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n04405907_8/img_b04_wood_metal_park_bench_stylized_tv_2002_gray.jpg,n02828884_3,n04405907_8,flexible,0.805676,n04405907_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n04405907_8/img_b04_wood_metal_park_bench_stylized_tv_2002-3_gray.png,foreground,same as foreground,n02828884_3,n04256520_9,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,random,left,Experiments/experiment_25/0.jpg,Experiments/experiment_25/1.jpg,Experiments/experiment_25/2.jpg,Experiments/experiment_25/3.jpg,space,3.8952,right,"[""left""]",[1.7727000000476778],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_9/n03928116_0/img_cr-96_bench_b02_piano_2005_gray.jpg,n02828884_9,n03928116_0,fixed,0.752162,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_9/n03928116_0/img_cr-96_bench_b02_piano_2005-3_gray.png,foreground,same as foreground,n02828884_9,n03001627_-2,Stimuli/canonical view 2/img_n02828884_9_gray.jpg,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,random,left,Experiments/experiment_25/4.jpg,Experiments/experiment_25/5.jpg,Experiments/experiment_25/6.jpg,Experiments/experiment_25/7.jpg,,,right,"[""right""]",[1.3704999999999927],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n02818832_3/img_glass_table_b05_ccm_contemporary_bed_max2013_2011_gray.jpg,n04379243_8,n02818832_3,fixed,0.752155,n02818832_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n02818832_3/img_glass_table_b05_ccm_contemporary_bed_max2013_2011-3_gray.png,foreground,same as foreground,n04379243_8,n02818832_3,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,foreground,right,Experiments/experiment_25/8.jpg,Experiments/experiment_25/9.jpg,Experiments/experiment_25/10.jpg,Experiments/experiment_25/11.jpg,,,right,"[""left""]",[0.7130000000000223],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n04405907_5/img_woven_box_samsung_40_uhd_smart_tv_2011_2000_gray.jpg,n02883344_-1,n04405907_5,fixed,0.817399,n04405907_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n04405907_5/img_woven_box_samsung_40_uhd_smart_tv_2011_2000-3_gray.png,foreground,same as foreground,n02883344_-1,n04405907_5,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,left,Experiments/experiment_25/12.jpg,Experiments/experiment_25/13.jpg,Experiments/experiment_25/14.jpg,Experiments/experiment_25/15.jpg,,,right,"[""left""]",[0.8813000000119473],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_10/img_glass_table_ydp_103_r_2012__vray_2010_gray.jpg,n04379243_8,n03928116_10,flexible,0.762732,n03928116_10,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_10/img_glass_table_ydp_103_r_2012__vray_2010-3_gray.png,foreground,same as foreground,n04379243_8,n03928116_10,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,foreground,right,Experiments/experiment_25/16.jpg,Experiments/experiment_25/17.jpg,Experiments/experiment_25/18.jpg,Experiments/experiment_25/19.jpg,,,left,"[""right""]",[0.8676999999880763],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04256520_5/img_club_house_italia_nautilus_sofa_meridiani_belmondo_bench_sofa_2010_gray.jpg,n04256520_4,n04256520_5,fixed,0.797266,n04379243_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04379243_0/img_b05_c-5_classic_series_bench-2012_17th_c._monastery_dining_table_2010_2002-3_gray.png,random,fixed,n04256520_4,n02883344_15,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,random,right,Experiments/experiment_25/20.jpg,Experiments/experiment_25/21.jpg,Experiments/experiment_25/22.jpg,Experiments/experiment_25/23.jpg,,,left,"[""right""]",[0.6774000000357319],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_9/n02883344_15/img_cr-96_bench_microwave_box_2001_gray.jpg,n02828884_9,n02883344_15,flexible,0.734403,n03928116_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_4/img_glass_table_dp_33_b_2013__vray_2007-3_gray.png,random,fixed,n02828884_9,n02828884_3,Stimuli/canonical view 2/img_n02828884_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,random,left,Experiments/experiment_25/24.jpg,Experiments/experiment_25/25.jpg,Experiments/experiment_25/26.jpg,Experiments/experiment_25/27.jpg,,,left,"[""left""]",[0.7193000000119127],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,2023-09-17_12h03.48.550,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04405907_5/img_club_house_italia_nautilus_sofa_samsung_40_uhd_smart_tv_2011_2014_gray.jpg,n04256520_4,n04405907_5,fixed,0.703837,n02883344_15,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04070727_5/n02883344_15/img_b05_db_apps_tech_06_13_composite_microwave_box_2001-3_gray.png,random,fixed,n04256520_4,n04405907_5,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_25/28.jpg,Experiments/experiment_25/29.jpg,Experiments/experiment_25/30.jpg,Experiments/experiment_25/31.jpg,,,left,"[""right""]",[0.8874999999999886],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
