in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,End_tutorial.keys,End_tutorial.rt,Tutorial_loop.thisRepN,Tutorial_loop.thisTrialN,Tutorial_loop.thisN,Tutorial_loop.thisIndex,Tutorial_loop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Input_selection.rt,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,50.1527,space,5.6762,space,8.3501,space,10.791,space,5.6569,space,2.1608,space,1.9996,space,1.5871,r,17.2654,space,1.044,0.0,0.0,0.0,0.0,1.0,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,a,16.4638,0.025,left,11.4052,a,10.0304,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n04379243_0/img_samsung_40_uhd_smart_tv_2011_17th_c._monastery_dining_table_2010_2005_gray.jpg,n04405907_5,n04379243_0,fixed,0.71053,n04405907_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_3/n04405907_8/img_b05_ccm_contemporary_bed_max2013_stylized_tv_2003-3_gray.png,random,flexible,n04405907_5,n02828884_9,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,Stimuli/canonical view 2/img_n02828884_9_gray.jpg,random,left,Experiments/experiment_46/1000.jpg,Experiments/experiment_46/1001.jpg,Experiments/experiment_46/1002.jpg,Experiments/experiment_46/1003.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02883344_-1/img_buffet_woven_box_2009_gray.jpg,n02933112_4,n02883344_-1,flexible,0.716557,n02828884_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02828884_3/img_buffet_b04_wood_metal_park_bench_2010-3_gray.png,random,flexible,n02933112_4,n02883344_15,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,random,left,Experiments/experiment_46/0.jpg,Experiments/experiment_46/1.jpg,Experiments/experiment_46/2.jpg,Experiments/experiment_46/3.jpg,space,4.9141,right,,False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_9/img_dp_33_b_2013__vray_vray_004_2005_gray.jpg,n03928116_4,n04405907_9,fixed,0.722082,n04405907_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_9/img_dp_33_b_2013__vray_vray_004_2005-3_gray.png,foreground,same as foreground,n03928116_4,n04405907_9,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,foreground,left,Experiments/experiment_46/4.jpg,Experiments/experiment_46/5.jpg,Experiments/experiment_46/6.jpg,Experiments/experiment_46/7.jpg,,,right,,False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n03001627_8/img_cgaxis_models_48_26_vray_composite_chair_billiani_doll_2002_gray.jpg,n02933112_-18,n03001627_8,flexible,0.707122,n03001627_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n03001627_8/img_cgaxis_models_48_26_vray_composite_chair_billiani_doll_2002-3_gray.png,foreground,same as foreground,n02933112_-18,n02883344_15,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,random,left,Experiments/experiment_46/8.jpg,Experiments/experiment_46/9.jpg,Experiments/experiment_46/10.jpg,Experiments/experiment_46/11.jpg,,,right,,False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02883344_-1/img_vray_004_woven_box_2001_gray.jpg,n04405907_9,n02883344_-1,fixed,0.780481,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02883344_-1/img_vray_004_woven_box_2001-3_gray.png,foreground,same as foreground,n04405907_9,n02883344_-1,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,foreground,left,Experiments/experiment_46/12.jpg,Experiments/experiment_46/13.jpg,Experiments/experiment_46/14.jpg,Experiments/experiment_46/15.jpg,,,left,,False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n04405907_9/img_b04_wood_metal_park_bench_vray_004_2010_gray.jpg,n02828884_3,n04405907_9,flexible,0.796356,n04379243_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n04379243_0/img_woven_box_17th_c._monastery_dining_table_2010_2004-3_gray.png,random,flexible,n02828884_3,n04405907_9,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,foreground,right,Experiments/experiment_46/16.jpg,Experiments/experiment_46/17.jpg,Experiments/experiment_46/18.jpg,Experiments/experiment_46/19.jpg,,,right,,False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n03928116_0/img_b04_wood_metal_park_bench_b02_piano_2004_gray.jpg,n02828884_3,n03928116_0,fixed,0.746598,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n03928116_0/img_b04_wood_metal_park_bench_b02_piano_2004-3_gray.png,foreground,same as foreground,n02828884_3,n02933112_-2,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,random,right,Experiments/experiment_46/20.jpg,Experiments/experiment_46/21.jpg,Experiments/experiment_46/22.jpg,Experiments/experiment_46/23.jpg,,,left,,False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02818832_3/img_bed01_blue_b05_ccm_contemporary_bed_max2013_2011_gray.jpg,n02818832_9,n02818832_3,fixed,0.787143,n04379243_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04379243_0/img_b03_box_17th_c._monastery_dining_table_2010_2004-3_gray.png,random,fixed,n02818832_9,n04379243_0,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,random,left,Experiments/experiment_46/24.jpg,Experiments/experiment_46/25.jpg,Experiments/experiment_46/26.jpg,Experiments/experiment_46/27.jpg,,,right,"[""left""]",False,,0.0,0.0,6.0,6.0,6.0,1.0,[1.281900000005976],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02883344_-1/img_b04_wood_metal_park_bench_woven_box_2001_gray.jpg,n02828884_3,n02883344_-1,flexible,0.74365,n04379243_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n04379243_0/img_buffet_17th_c._monastery_dining_table_2010_2012-3_gray.png,random,fixed,n02828884_3,n02883344_0,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,random,left,Experiments/experiment_46/28.jpg,Experiments/experiment_46/29.jpg,Experiments/experiment_46/30.jpg,Experiments/experiment_46/31.jpg,,,left,,False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,,
