in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Attention_check.rt,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,41.843,right,16.262,right,3.653,right,3.867,right,2.148,right,7.293,right,1.869,right,5.428,a,5.826,right,3.327,0.025,right,1.616,a,3.705,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02933112_4/img_vray_004_buffet_2008_gray.jpg,n04405907_9,n02933112_4,fixed,0.706715,n04405907_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n04405907_8/img_buffet_stylized_tv_2012-3_gray.png,random,fixed,n04405907_9,n04256520_4,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,left,Experiments/experiment_2/1000.jpg,Experiments/experiment_2/1001.jpg,Experiments/experiment_2/1002.jpg,Experiments/experiment_2/1003.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02818832_3/img_17th_c._monastery_dining_table_2010_b05_ccm_contemporary_bed_max2013_2001_gray.jpg,n04379243_0,n02818832_3,flexible,0.721131,n04379243_-7,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n04379243_-7/img_cgaxis_models_48_26_vray_composite_quatre_dining_table_2012-3_gray.png,random,fixed,n04379243_0,n02818832_3,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,foreground,left,Experiments/experiment_2/0.jpg,Experiments/experiment_2/1.jpg,Experiments/experiment_2/2.jpg,Experiments/experiment_2/3.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,right,2.962,left,"[""left""]",[1.5300000000000296],True,right,1.0,1.327,0.0,0.0,0.0,0.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04379243_-7/img_b05_c-5_classic_series_bench-2012_quatre_dining_table_2004_gray.jpg,n02828884_4,n04379243_-7,flexible,0.700029,n04256520_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n04256520_9/img_buffet_napoleon_iii_sofa_2012-3_gray.png,random,fixed,n02828884_4,n03001627_-2,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,random,left,Experiments/experiment_2/4.jpg,Experiments/experiment_2/5.jpg,Experiments/experiment_2/6.jpg,Experiments/experiment_2/7.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,left,"[""left""]",[1.4560000000000173],False,,0.0,,0.0,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n02828884_3/img_woven_box_b04_wood_metal_park_bench_2007_gray.jpg,n02883344_-1,n02828884_3,flexible,0.807646,n02828884_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n02828884_3/img_woven_box_b04_wood_metal_park_bench_2007-3_gray.png,foreground,same as foreground,n02883344_-1,n02828884_4,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,random,left,Experiments/experiment_2/8.jpg,Experiments/experiment_2/9.jpg,Experiments/experiment_2/10.jpg,Experiments/experiment_2/11.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,left,"[""left""]",[1.3909999999999627],False,,0.0,,0.0,2.0,2.0,2.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04405907_5/img_chair_billiani_doll_samsung_40_uhd_smart_tv_2011_2004_gray.jpg,n03001627_8,n04405907_5,flexible,0.712209,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02883344_-1/img_17th_c._monastery_dining_table_2010_woven_box_2002-3_gray.png,random,fixed,n03001627_8,n04405907_5,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,left,Experiments/experiment_2/12.jpg,Experiments/experiment_2/13.jpg,Experiments/experiment_2/14.jpg,Experiments/experiment_2/15.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,right,"[""right""]",[1.2090000000000032],False,,0.0,,0.0,3.0,3.0,3.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02883344_-1/img_17th_c._monastery_dining_table_2010_woven_box_2002_gray.jpg,n04379243_0,n02883344_-1,flexible,0.815443,n04256520_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2013-3_gray.png,random,flexible,n04379243_0,n02828884_4,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,random,left,Experiments/experiment_2/16.jpg,Experiments/experiment_2/17.jpg,Experiments/experiment_2/18.jpg,Experiments/experiment_2/19.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,right,"[""right""]",[1.0440000000000396],False,,0.0,,0.0,4.0,4.0,4.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n04256520_4/img_vray_004_club_house_italia_nautilus_sofa_2009_gray.jpg,n04405907_9,n04256520_4,fixed,0.888142,n04256520_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n04256520_4/img_vray_004_club_house_italia_nautilus_sofa_2009-3_gray.png,foreground,same as foreground,n04405907_9,n04256520_4,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,foreground,left,Experiments/experiment_2/20.jpg,Experiments/experiment_2/21.jpg,Experiments/experiment_2/22.jpg,Experiments/experiment_2/23.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,left,"[""left""]",[1.5389999999999873],False,,0.0,,0.0,5.0,5.0,5.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n02828884_3/img_woven_box_b04_wood_metal_park_bench_2009_gray.jpg,n02883344_-1,n02828884_3,flexible,0.749726,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n02883344_-1/img_chair_eames_plastic_armchair_woven_box_2013-3_gray.png,random,fixed,n02883344_-1,n02828884_3,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_2/24.jpg,Experiments/experiment_2/25.jpg,Experiments/experiment_2/26.jpg,Experiments/experiment_2/27.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,right,"[""right""]",[1.0879999999999654],False,,0.0,,0.0,6.0,6.0,6.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04379243_8/img_17th_c._monastery_dining_table_2010_glass_table_2012_gray.jpg,n04379243_0,n04379243_8,fixed,0.732309,n04379243_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04379243_8/img_17th_c._monastery_dining_table_2010_glass_table_2012-3_gray.png,foreground,same as foreground,n04379243_0,n03001627_9,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,random,right,Experiments/experiment_2/28.jpg,Experiments/experiment_2/29.jpg,Experiments/experiment_2/30.jpg,Experiments/experiment_2/31.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,right,"[""right""]",[0.9960000000000377],False,,0.0,,0.0,7.0,7.0,7.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04256520_5/img_17th_c._monastery_dining_table_2010_meridiani_belmondo_bench_sofa_2001_gray.jpg,n04379243_0,n04256520_5,flexible,0.764505,n04256520_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04256520_5/img_17th_c._monastery_dining_table_2010_meridiani_belmondo_bench_sofa_2001-3_gray.png,foreground,same as foreground,n04379243_0,n02883344_-1,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,random,left,Experiments/experiment_2/32.jpg,Experiments/experiment_2/33.jpg,Experiments/experiment_2/34.jpg,Experiments/experiment_2/35.jpg,719,1,2023-09-17_11h35.20.895,Occlusion_Psychophysics,2022.1.4,Win32,59.95203837,,,right,"[""right""]",[0.7879999999999541],False,,0.0,,0.0,8.0,8.0,8.0,1.0,,,,,
