in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Attention_check.rt,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,30.5069,space,3.6393,space,2.6314,space,4.6125,space,2.4696,space,10.811,space,7.9126,space,5.1159,a,8.4117,space,2.7909,0.025,left,1.5317,a,5.1323,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02933112_-18/img_vray_004_cgaxis_models_48_26_vray_composite_2014_gray.jpg,n04405907_9,n02933112_-18,fixed,0.814809,n03001627_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04070727_3/n03001627_-2/img_b05_db_apps_tech_06_02_2_composite_wood_chair_2004-3_gray.png,random,fixed,n04405907_9,n04405907_5,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,random,right,Experiments/experiment_16/1000.jpg,Experiments/experiment_16/1001.jpg,Experiments/experiment_16/1002.jpg,Experiments/experiment_16/1003.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02828884_3/img_17th_c._monastery_dining_table_2010_b04_wood_metal_park_bench_2002_gray.jpg,n04379243_0,n02828884_3,flexible,0.748212,n02933112_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n02933112_-2/img_stylized_tv_sink_base_white_wood_2013-3_gray.png,random,fixed,n04379243_0,n02828884_3,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_16/0.jpg,Experiments/experiment_16/1.jpg,Experiments/experiment_16/2.jpg,Experiments/experiment_16/3.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,space,2.8833,left,"[""right""]",[1.1514999999999986],True,right,1.0,0.8765,0.0,0.0,0.0,0.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02818832_9/img_meridiani_belmondo_bench_sofa_bed01_blue_2003_gray.jpg,n04256520_5,n02818832_9,fixed,0.767429,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02883344_-1/img_meridiani_belmondo_bench_sofa_woven_box_2013-3_gray.png,random,fixed,n04256520_5,n02818832_9,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,right,Experiments/experiment_16/4.jpg,Experiments/experiment_16/5.jpg,Experiments/experiment_16/6.jpg,Experiments/experiment_16/7.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,left,"[""right""]",[1.399799999952279],False,,0.0,,0.0,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02883344_-1/img_cgaxis_models_48_26_vray_composite_woven_box_2004_gray.jpg,n02933112_-18,n02883344_-1,flexible,0.758762,n02883344_-1,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02883344_-1/img_cgaxis_models_48_26_vray_composite_woven_box_2004-3_gray.png,foreground,same as foreground,n02933112_-18,n02883344_-1,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,foreground,right,Experiments/experiment_16/8.jpg,Experiments/experiment_16/9.jpg,Experiments/experiment_16/10.jpg,Experiments/experiment_16/11.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,left,"[""left""]",[1.2539000000953706],False,,0.0,,0.0,2.0,2.0,2.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02883344_15/img_meridiani_belmondo_bench_sofa_microwave_box_2008_gray.jpg,n04256520_5,n02883344_15,flexible,0.735755,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02818832_0/img_meridiani_belmondo_bench_sofa_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2010-3_gray.png,random,fixed,n04256520_5,n02883344_15,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,foreground,right,Experiments/experiment_16/12.jpg,Experiments/experiment_16/13.jpg,Experiments/experiment_16/14.jpg,Experiments/experiment_16/15.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,right,"[""right""]",[1.167299999952263],False,,0.0,,0.0,3.0,3.0,3.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04405907_5/img_club_house_italia_nautilus_sofa_samsung_40_uhd_smart_tv_2011_2013_gray.jpg,n04256520_4,n04405907_5,fixed,0.753088,n04405907_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04405907_5/img_club_house_italia_nautilus_sofa_samsung_40_uhd_smart_tv_2011_2013-3_gray.png,foreground,same as foreground,n04256520_4,n04405907_5,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_16/16.jpg,Experiments/experiment_16/17.jpg,Experiments/experiment_16/18.jpg,Experiments/experiment_16/19.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,left,"[""left""]",[1.7122000000476874],False,,0.0,,0.0,4.0,4.0,4.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n03928116_4/img_17th_c._monastery_dining_table_2010_dp_33_b_2013__vray_2001_gray.jpg,n04379243_0,n03928116_4,flexible,0.705205,n03928116_4,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n03928116_4/img_17th_c._monastery_dining_table_2010_dp_33_b_2013__vray_2001-3_gray.png,foreground,same as foreground,n04379243_0,n03928116_4,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,foreground,left,Experiments/experiment_16/20.jpg,Experiments/experiment_16/21.jpg,Experiments/experiment_16/22.jpg,Experiments/experiment_16/23.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,right,"[""right""]",[0.6585999999046521],False,,0.0,,0.0,5.0,5.0,5.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n04256520_9/img_stylized_tv_napoleon_iii_sofa_2004_gray.jpg,n04405907_8,n04256520_9,flexible,0.707069,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n03928116_0/img_bed01_blue_b02_piano_2000-3_gray.png,random,fixed,n04405907_8,n04256520_9,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,foreground,left,Experiments/experiment_16/24.jpg,Experiments/experiment_16/25.jpg,Experiments/experiment_16/26.jpg,Experiments/experiment_16/27.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,right,"[""right""]",[1.3037999999523322],False,,0.0,,0.0,6.0,6.0,6.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n02828884_4/img_samsung_40_uhd_smart_tv_2011_b05_c-5_classic_series_bench-2012_2004_gray.jpg,n04405907_5,n02828884_4,fixed,0.704105,n02828884_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n02828884_4/img_samsung_40_uhd_smart_tv_2011_b05_c-5_classic_series_bench-2012_2004-3_gray.png,foreground,same as foreground,n04405907_5,n03001627_-2,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,random,right,Experiments/experiment_16/28.jpg,Experiments/experiment_16/29.jpg,Experiments/experiment_16/30.jpg,Experiments/experiment_16/31.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,left,"[""left""]",[0.7688999998569557],False,,0.0,,0.0,7.0,7.0,7.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n04405907_8/img_cgaxis_models_48_26_vray_composite_stylized_tv_2009_gray.jpg,n02933112_-18,n04405907_8,fixed,0.839479,n04405907_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n04405907_8/img_cgaxis_models_48_26_vray_composite_stylized_tv_2009-3_gray.png,foreground,same as foreground,n02933112_-18,n04256520_4,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,left,Experiments/experiment_16/32.jpg,Experiments/experiment_16/33.jpg,Experiments/experiment_16/34.jpg,Experiments/experiment_16/35.jpg,976,1,2023-05-26_14h36.31.004,Occlusion_Psychophysics,2022.1.4,Win32,143.9055979,,,left,"[""left""]",[0.8408999998569584],False,,0.0,,0.0,8.0,8.0,8.0,1.0,,,,,
