in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,End_tutorial.keys,End_tutorial.rt,Tutorial_loop.thisRepN,Tutorial_loop.thisTrialN,Tutorial_loop.thisN,Tutorial_loop.thisIndex,Tutorial_loop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,28.0753,space,2.7405,down,1.1116,down,1.2146,down,0.7853,down,20.6345,down,7.1896,right,1.5004,r,4.5135,down,3.9246,0.0,0.0,0.0,0.0,1.0,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,down,2.118,0.025,left,1.6146,r,4.6828,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_5/img_dp_33_b_2013__vray_samsung_40_uhd_smart_tv_2011_2015_gray.jpg,n03928116_4,n04405907_5,flexible,0.856802,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_5/img_dp_33_b_2013__vray_samsung_40_uhd_smart_tv_2011_2015-3_gray.png,foreground,same as foreground,n03928116_4,n04405907_5,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_17/1000.jpg,Experiments/experiment_17/1001.jpg,Experiments/experiment_17/1002.jpg,Experiments/experiment_17/1003.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.025,right,1.3308,r,3.9684,0.0,1.0,1.0,1.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_15/n02883344_-1/img_microwave_box_woven_box_2006_gray.jpg,n02883344_15,n02883344_-1,fixed,0.762231,n02933112_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02933112_-2/img_b04_wood_metal_park_bench_sink_base_white_wood_2004-3_gray.png,random,fixed,n02883344_15,n04379243_0,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,random,right,Experiments/experiment_17/1004.jpg,Experiments/experiment_17/1005.jpg,Experiments/experiment_17/1006.jpg,Experiments/experiment_17/1007.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,left,1.8498,r,3.3178,0.0,2.0,2.0,2.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02818832_9/img_cgaxis_models_48_26_vray_composite_bed01_blue_2015_gray.jpg,n02933112_-18,n02818832_9,flexible,0.792879,n02828884_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02828884_9/img_b03_box_cr-96_bench_2003-3_gray.png,random,flexible,n02933112_-18,n02818832_9,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,right,Experiments/experiment_17/1008.jpg,Experiments/experiment_17/1009.jpg,Experiments/experiment_17/1010.jpg,Experiments/experiment_17/1011.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,left,1.1297,r,1.9807,0.0,3.0,3.0,3.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n02883344_15/img_quatre_dining_table_microwave_box_2006_gray.jpg,n04379243_-7,n02883344_15,flexible,0.708006,n02883344_15,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n02883344_15/img_quatre_dining_table_microwave_box_2006-3_gray.png,foreground,same as foreground,n04379243_-7,n02883344_15,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,foreground,left,Experiments/experiment_17/1012.jpg,Experiments/experiment_17/1013.jpg,Experiments/experiment_17/1014.jpg,Experiments/experiment_17/1015.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,right,1.8388,r,1.255,0.0,4.0,4.0,4.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n03928116_0/img_chair_billiani_doll_b02_piano_2003_gray.jpg,n03001627_8,n03928116_0,flexible,0.716377,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n03928116_0/img_chair_billiani_doll_b02_piano_2003-3_gray.png,foreground,same as foreground,n03001627_8,n02883344_-1,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,random,left,Experiments/experiment_17/1016.jpg,Experiments/experiment_17/1017.jpg,Experiments/experiment_17/1018.jpg,Experiments/experiment_17/1019.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,left,0.8997,r,1.8987,0.0,5.0,5.0,5.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n03928116_0/img_b03_box_b02_piano_2015_gray.jpg,n02883344_0,n03928116_0,fixed,0.820068,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n04405907_5/img_vray_004_samsung_40_uhd_smart_tv_2011_2004-3_gray.png,random,flexible,n02883344_0,n03928116_0,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,foreground,right,Experiments/experiment_17/1020.jpg,Experiments/experiment_17/1021.jpg,Experiments/experiment_17/1022.jpg,Experiments/experiment_17/1023.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,left,1.249,r,1.6148,0.0,6.0,6.0,6.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n02883344_15/img_glass_table_microwave_box_2011_gray.jpg,n04379243_8,n02883344_15,fixed,0.847062,n04405907_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n04405907_9/img_napoleon_iii_sofa_vray_004_2000-3_gray.png,random,flexible,n04379243_8,n02883344_15,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,foreground,left,Experiments/experiment_17/1024.jpg,Experiments/experiment_17/1025.jpg,Experiments/experiment_17/1026.jpg,Experiments/experiment_17/1027.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.025,right,1.7028,r,2.0474,0.0,7.0,7.0,7.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02818832_9/img_17th_c._monastery_dining_table_2010_bed01_blue_2001_gray.jpg,n04379243_0,n02818832_9,fixed,0.797787,n02818832_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n02818832_9/img_17th_c._monastery_dining_table_2010_bed01_blue_2001-3_gray.png,foreground,same as foreground,n04379243_0,n02818832_9,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,right,Experiments/experiment_17/1028.jpg,Experiments/experiment_17/1029.jpg,Experiments/experiment_17/1030.jpg,Experiments/experiment_17/1031.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,985,1,2023-04-17_18h50.51.056,Occlusion_Psychophysics,2022.1.4,Linux x86_64,59.9880024,,,0.05,right,1.531,a,1.6481,0.0,8.0,8.0,8.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02818832_0/img_bed01_blue_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2010_gray.jpg,n02818832_9,n02818832_0,fixed,0.709601,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02818832_0/img_bed01_blue_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2010-3_gray.png,foreground,same as foreground,n02818832_9,n02818832_0,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,foreground,right,Experiments/experiment_17/1032.jpg,Experiments/experiment_17/1033.jpg,Experiments/experiment_17/1034.jpg,Experiments/experiment_17/1035.jpg,,,,,,,,,,,,,,,,,,,
