in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran,Attention_check.rt
False,return,28.2766,return,7.5512,return,6.4596,return,6.0485,return,3.3744,return,21.5659,return,6.3512,return,10.2777,a,154.3553,return,2.1689,0.025,left,4.7935,r,4.2702,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n04379243_0/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_17th_c._monastery_dining_table_2010_2013_gray.jpg,n02818832_0,n04379243_0,fixed,0.740627,n04379243_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n04379243_0/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_17th_c._monastery_dining_table_2010_2013-3_gray.png,foreground,same as foreground,n02818832_0,n04379243_0,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,foreground,left,Experiments/experiment_34/1000.jpg,Experiments/experiment_34/1001.jpg,Experiments/experiment_34/1002.jpg,Experiments/experiment_34/1003.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,right,5.1921,r,4.5531,0.0,1.0,1.0,1.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04405907_5/img_chair_billiani_doll_samsung_40_uhd_smart_tv_2011_2012_gray.jpg,n03001627_8,n04405907_5,fixed,0.709608,n04405907_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04405907_5/img_chair_billiani_doll_samsung_40_uhd_smart_tv_2011_2012-3_gray.png,foreground,same as foreground,n03001627_8,n02828884_9,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n02828884_9_gray.jpg,random,right,Experiments/experiment_34/1004.jpg,Experiments/experiment_34/1005.jpg,Experiments/experiment_34/1006.jpg,Experiments/experiment_34/1007.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,left,2.313,a,395.4476,0.0,2.0,2.0,2.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_-2/n02818832_0/img_wood_chair_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2001_gray.jpg,n03001627_-2,n02818832_0,fixed,0.813074,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_-2/n02818832_0/img_wood_chair_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2001-3_gray.png,foreground,same as foreground,n03001627_-2,n02818832_9,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,random,right,Experiments/experiment_34/1008.jpg,Experiments/experiment_34/1009.jpg,Experiments/experiment_34/1010.jpg,Experiments/experiment_34/1011.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n03928116_4/img_woven_box_dp_33_b_2013__vray_2015_gray.jpg,n02883344_-1,n03928116_4,fixed,0.729685,n04405907_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n04405907_8/img_meridiani_belmondo_bench_sofa_stylized_tv_2013-3_gray.png,random,fixed,n02883344_-1,n03928116_4,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,foreground,right,Experiments/experiment_34/0.jpg,Experiments/experiment_34/1.jpg,Experiments/experiment_34/2.jpg,Experiments/experiment_34/3.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,return,1.9687,right,"[""left""]",[2.4004999999999654],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n03928116_10/img_b03_box_ydp_103_r_2012__vray_2009_gray.jpg,n02883344_0,n03928116_10,fixed,0.771006,n02933112_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n02933112_4/img_quatre_dining_table_buffet_2000-3_gray.png,random,fixed,n02883344_0,n02818832_3,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,right,Experiments/experiment_34/4.jpg,Experiments/experiment_34/5.jpg,Experiments/experiment_34/6.jpg,Experiments/experiment_34/7.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,right,,,False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02818832_9/img_napoleon_iii_sofa_bed01_blue_2003_gray.jpg,n04256520_9,n02818832_9,fixed,0.829212,n04256520_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04256520_5/img_b03_box_meridiani_belmondo_bench_sofa_2006-3_gray.png,random,fixed,n04256520_9,n02818832_9,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,right,Experiments/experiment_34/8.jpg,Experiments/experiment_34/9.jpg,Experiments/experiment_34/10.jpg,Experiments/experiment_34/11.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,right,"[""left""]",[1.1440999999995256],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_0/n03001627_9/img_b02_piano_chair_eames_plastic_armchair_2014_gray.jpg,n03928116_0,n03001627_9,flexible,0.727955,n02818832_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02818832_3/img_b03_box_b05_ccm_contemporary_bed_max2013_2002-3_gray.png,random,flexible,n03928116_0,n03001627_9,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,foreground,right,Experiments/experiment_34/12.jpg,Experiments/experiment_34/13.jpg,Experiments/experiment_34/14.jpg,Experiments/experiment_34/15.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,right,"[""left""]",[0.9025999999994383],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n03928116_10/img_bed01_blue_ydp_103_r_2012__vray_2000_gray.jpg,n02818832_9,n03928116_10,flexible,0.712751,n03928116_10,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n03928116_10/img_bed01_blue_ydp_103_r_2012__vray_2000-3_gray.png,foreground,same as foreground,n02818832_9,n02828884_4,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,random,right,Experiments/experiment_34/16.jpg,Experiments/experiment_34/17.jpg,Experiments/experiment_34/18.jpg,Experiments/experiment_34/19.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,left,"[""left""]",[1.5515000000000327],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04256520_5/img_b03_box_meridiani_belmondo_bench_sofa_2002_gray.jpg,n02883344_0,n04256520_5,flexible,0.704644,n02933112_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n02933112_-2/img_dp_33_b_2013__vray_sink_base_white_wood_2008-3_gray.png,random,fixed,n02883344_0,n02933112_-2,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,random,left,Experiments/experiment_34/20.jpg,Experiments/experiment_34/21.jpg,Experiments/experiment_34/22.jpg,Experiments/experiment_34/23.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,right,"[""right""]",[1.302800000000616],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n03928116_10/img_b03_box_ydp_103_r_2012__vray_2015_gray.jpg,n02883344_0,n03928116_10,fixed,0.732819,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n03928116_0/img_woven_box_b02_piano_2002-3_gray.png,random,fixed,n02883344_0,n03928116_10,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,foreground,right,Experiments/experiment_34/24.jpg,Experiments/experiment_34/25.jpg,Experiments/experiment_34/26.jpg,Experiments/experiment_34/27.jpg,988,1,2023-06-28_13h38.00.368,Occlusion_Psychophysics,2022.1.4,Win32,59.88741167,,,right,"[""right""]",[2.35910000000149],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
